iter	Accuracy	MultiClass
271	0.6701875	0.6487837343
272	0.6702083333	0.6487732996
273	0.6701875	0.6487501496
274	0.6701875	0.6487483647
275	0.6702291667	0.6487380808
276	0.6702291667	0.6487198667
277	0.6702291667	0.6487043833
278	0.6702291667	0.6486916866
279	0.67025	0.6486832727
280	0.67025	0.6486790295
281	0.67025	0.6486753435
282	0.6702291667	0.6486592558
283	0.6702291667	0.6486525951
284	0.6702291667	0.6486475685
285	0.67025	0.6486434603
286	0.67025	0.6486399412
287	0.67025	0.6486306444
288	0.6702708333	0.6486230527
289	0.6702708333	0.6486128439
290	0.6702708333	0.648605391
291	0.67025	0.64859919
292	0.67025	0.6485854457
293	0.67025	0.64857901
294	0.67025	0.6485704426
295	0.67025	0.6485667397
296	0.6702708333	0.6485498469
297	0.6702708333	0.6485245951
298	0.6702708333	0.648511372
299	0.6702708333	0.6485022929
300	0.6702708333	0.6484986976
301	0.6702916667	0.6484893313
302	0.6702916667	0.6484705561
303	0.6702916667	0.6484657489
304	0.6702916667	0.6484612127
305	0.6702916667	0.6484523718
306	0.6702916667	0.6484465139
307	0.6703333333	0.6484420853
308	0.6703333333	0.6484367344
309	0.6703333333	0.6484339798
310	0.6703333333	0.6484120075
311	0.6703541667	0.6483945345
312	0.6703333333	0.6483840461
313	0.6703541667	0.6483746538
314	0.6703541667	0.6483659346
315	0.6703333333	0.6483465594
316	0.6703333333	0.648342617
317	0.6703125	0.6483332467
318	0.6703125	0.6483250933
319	0.670375	0.6483031484
320	0.670375	0.6482957295
321	0.6703541667	0.6482837694
322	0.6703541667	0.6482806615
323	0.6703333333	0.6482690367
324	0.6703333333	0.6482661133
325	0.6703541667	0.6482461161
326	0.670375	0.6482326128
327	0.6703958333	0.6482227791
328	0.670375	0.6481734607
329	0.670375	0.6481625647
330	0.6703541667	0.6481503008
331	0.6703541667	0.6481447754
332	0.6703541667	0.6481361421
333	0.670375	0.6481247237
334	0.6703958333	0.648113291
335	0.6704166667	0.6481018266
336	0.6704166667	0.6480934046
337	0.6704166667	0.6480847147
338	0.6704166667	0.6480806385
339	0.6703958333	0.6480688567
340	0.6704166667	0.6480542986
341	0.6704166667	0.6480441832
342	0.6704166667	0.64803749
343	0.6704166667	0.6480293812
344	0.6704375	0.6480219593
345	0.6704166667	0.6480173943
346	0.6704166667	0.6480102215
347	0.6704583333	0.6479997262
348	0.6704375	0.6479904676
349	0.6704583333	0.6479773254
350	0.6704583333	0.6479613334
351	0.6704375	0.647950644
352	0.6704583333	0.6479289449
353	0.6704583333	0.6479257305
354	0.6704583333	0.6479095555
355	0.6704583333	0.6478989663
356	0.6704583333	0.6478956409
357	0.6704583333	0.6478881681
358	0.6704583333	0.6478825478
359	0.6704583333	0.6478790918
360	0.6704791667	0.6478707484
361	0.6704791667	0.6478660035
362	0.6704791667	0.6478516841
363	0.6705	0.6478462903
364	0.6704791667	0.6478336384
365	0.6705	0.647811634
366	0.6705	0.6477948497
367	0.6705	0.6477915464
368	0.6705	0.6477876523
369	0.6705	0.6477825021
370	0.6705	0.6477774472
371	0.6705	0.6477712398
372	0.6705	0.647740407
373	0.6705	0.6477363638
374	0.6705	0.6477327051
375	0.6705	0.6477285901
376	0.6705	0.6477194287
377	0.6705208333	0.6477079624
378	0.6705208333	0.6476967887
379	0.6705416667	0.6476897729
380	0.6705208333	0.6476812668
381	0.6705208333	0.6476756729
382	0.6705208333	0.6476676066
383	0.6705208333	0.6476638078
384	0.6705208333	0.6476564095
385	0.6705208333	0.6476506938
386	0.6705208333	0.6476364724
387	0.6705416667	0.6476264391
388	0.6705416667	0.6476212308
389	0.670625	0.6476145039
390	0.670625	0.6476063794
391	0.670625	0.6476036939
392	0.670625	0.6475990263
393	0.670625	0.6475957064
394	0.670625	0.6475943618
395	0.670625	0.6475864626
396	0.6706458333	0.647574275
397	0.6706458333	0.6475721785
398	0.6706458333	0.6475564613
399	0.6706458333	0.6475364178
400	0.6706458333	0.6475321354
401	0.6706458333	0.6475195136
402	0.670625	0.6475016507
403	0.6706458333	0.6474866764
404	0.6706458333	0.6474701395
405	0.6706458333	0.6474638194
406	0.6706458333	0.6474597334
407	0.6706458333	0.6474512927
408	0.6706666667	0.6474411742
409	0.6706666667	0.6474278203
410	0.6706666667	0.6474227432
411	0.6706458333	0.6474180988
412	0.6706458333	0.6474139049
413	0.6706458333	0.6474109351
414	0.6706458333	0.6474042948
415	0.6706666667	0.6473959348
416	0.6706666667	0.6473920245
417	0.6706666667	0.6473857353
418	0.670625	0.647381723
419	0.670625	0.6473765507
420	0.6706458333	0.6473731508
421	0.6706875	0.647366945
422	0.6706875	0.6473614284
423	0.6706875	0.64735819
424	0.67075	0.647351211
425	0.6707708333	0.6473436002
426	0.6707708333	0.6473322323
427	0.6707708333	0.6473190179
428	0.6707708333	0.6473131378
429	0.6707291667	0.6473074089
430	0.6707291667	0.6473028137
431	0.6707708333	0.6472795672
432	0.6707708333	0.6472760887
433	0.67075	0.647274238
434	0.6707916667	0.6472619331
435	0.6707916667	0.647260199
436	0.6707916667	0.6472358169
437	0.6707708333	0.6472137585
438	0.6707916667	0.6472105479
439	0.6707916667	0.6472018452
440	0.6707916667	0.6471874705
441	0.6708125	0.6471724109
442	0.6708125	0.6471672294
443	0.6708125	0.6471639494
444	0.6708125	0.6471533673
445	0.6708125	0.6471441902
446	0.6708333333	0.6471385885
447	0.6708541667	0.6471310603
448	0.6708541667	0.6471208642
449	0.6708541667	0.6471175783
450	0.670875	0.6471091836
451	0.6708541667	0.6470962941
452	0.6708333333	0.6470874808
453	0.6708541667	0.6470623902
454	0.6708541667	0.6470544544
455	0.6708541667	0.6470511702
456	0.6708541667	0.6470310807
457	0.670875	0.6470171674
458	0.6708541667	0.6470066681
459	0.670875	0.6469949227
460	0.670875	0.6469885368
461	0.670875	0.6469850672
462	0.670875	0.6469746168
463	0.670875	0.6469657244
464	0.670875	0.6469545365
465	0.670875	0.6469433543
466	0.670875	0.6469203617
467	0.670875	0.646909523
468	0.670875	0.6469038275
469	0.670875	0.6468993178
470	0.670875	0.6468942039
471	0.670875	0.64688898
472	0.670875	0.6468691736
473	0.670875	0.6468543824
474	0.670875	0.6468493994
475	0.6708958333	0.6468351744
476	0.6708958333	0.6468334488
477	0.6708958333	0.6468063494
478	0.6709166667	0.6467977644
479	0.6709166667	0.6467826928
480	0.6709166667	0.6467790652
481	0.6709166667	0.646771741
482	0.6709375	0.6467594542
483	0.6709375	0.6467457611
484	0.6709166667	0.6467428988
485	0.6709166667	0.6467385067
486	0.6709375	0.6467236326
487	0.6709375	0.6467213749
488	0.6709375	0.6467174745
489	0.6709375	0.6467137313
490	0.6709375	0.6467114625
491	0.6709583333	0.6467019559
492	0.6709583333	0.646689377
493	0.6709583333	0.6466828119
494	0.6709583333	0.6466798001
495	0.6709375	0.6466765258
496	0.6709791667	0.6466613988
497	0.6709791667	0.6466580129
498	0.6709791667	0.6466545748
499	0.6709791667	0.6466399953
