iter	Passed	Remaining
403	11935	2836
404	11971	2808
405	12006	2779
406	12042	2751
407	12074	2722
408	12107	2693
409	12139	2664
410	12173	2636
411	12210	2608
412	12243	2579
413	12277	2550
414	12305	2520
415	12337	2491
416	12371	2462
417	12406	2433
418	12444	2405
419	12475	2376
420	12505	2346
421	12539	2317
422	12570	2288
423	12604	2259
424	12637	2230
425	12670	2201
426	12703	2171
427	12737	2142
428	12772	2113
429	12804	2084
430	12835	2054
431	12868	2025
432	12909	1997
433	12949	1969
434	12979	1939
435	13014	1910
436	13055	1882
437	13088	1852
438	13118	1822
439	13150	1793
440	13186	1764
441	13219	1734
442	13256	1705
443	13288	1676
444	13322	1646
445	13354	1616
446	13386	1587
447	13419	1557
448	13454	1528
449	13489	1498
450	13523	1469
451	13553	1439
452	13584	1409
453	13620	1380
454	13650	1350
455	13683	1320
456	13714	1290
457	13749	1260
458	13780	1230
459	13811	1200
460	13844	1171
461	13878	1141
462	13910	1111
463	13943	1081
464	13979	1052
465	14012	1022
466	14043	992
467	14078	962
468	14109	932
469	14138	902
470	14170	872
471	14199	842
472	14228	812
473	14260	782
474	14291	752
475	14326	722
476	14359	692
477	14392	662
478	14426	632
479	14456	602
480	14490	572
481	14519	542
482	14548	512
483	14580	482
484	14613	451
485	14644	421
486	14672	391
487	14704	361
488	14735	331
489	14770	301
490	14803	271
491	14835	241
492	14865	211
493	14895	180
494	14926	150
495	14960	120
496	14988	90
497	15016	60
498	15045	30
499	15077	0
